LOCATION,TIME,Value
AUS,2008-Q1,3.245562824
AUS,2008-Q2,2.937364777
AUS,2008-Q3,2.486236712
AUS,2008-Q4,1.591064411
AUS,2009-Q1,1.476778198
AUS,2009-Q2,1.91904506
AUS,2009-Q3,1.502471428
AUS,2009-Q4,2.752843238
AUS,2010-Q1,2.25700954
AUS,2010-Q2,2.179328809
AUS,2010-Q3,2.592015253
AUS,2010-Q4,2.719754084
AUS,2011-Q1,1.971908453
AUS,2011-Q2,2.597202235
AUS,2011-Q3,3.260124317
AUS,2011-Q4,3.463849048
AUS,2012-Q1,4.754282575
AUS,2012-Q2,4.185319581
AUS,2012-Q3,3.407465779
AUS,2012-Q4,2.79828479
AUS,2013-Q1,2.269373705
AUS,2013-Q2,1.948494442
AUS,2013-Q3,2.139164468
AUS,2013-Q4,2.468135907
AUS,2014-Q1,2.803838525
AUS,2014-Q2,2.834968401
AUS,2014-Q3,2.521064521
AUS,2014-Q4,2.073791145
AUS,2015-Q1,2.230142751
AUS,2015-Q2,1.870074297
AUS,2015-Q3,2.442672992
AUS,2015-Q4,2.685155552
AUS,2016-Q1,2.636820113
AUS,2016-Q2,3.196933779
AUS,2016-Q3,2.269976583
AUS,2016-Q4,2.723042554
AUS,2017-Q1,2.085255622
AUS,2017-Q2,2.109703736
AUS,2017-Q3,2.966102603
AUS,2017-Q4,2.342999115
AUS,2018-Q1,2.980591546
AUS,2018-Q2,3.19199709
AUS,2018-Q3,2.62809408
AUS,2018-Q4,2.314029712
AUS,2019-Q1,1.859594166
AUS,2019-Q2,1.663376181
AUS,2019-Q3,2.062512427
AUS,2019-Q4,2.332611991
AUS,2020-Q1,1.60326586
AUS,2020-Q2,-5.951825049
AUS,2020-Q3,-3.445513458
AUS,2020-Q4,-0.671635289
AUS,2021-Q1,1.408948631
AUS,2021-Q2,9.697725214
AUS,2021-Q3,4.05289391
AUS,2021-Q4,4.401727121
AUT,2008-Q1,3.058475961
AUT,2008-Q2,2.720115272
AUT,2008-Q3,1.69980248
AUT,2008-Q4,-1.417297057
AUT,2009-Q1,-3.760186911
AUT,2009-Q2,-5.299411528
AUT,2009-Q3,-4.273100174
AUT,2009-Q4,-1.601684157
AUT,2010-Q1,-0.289678221
AUT,2010-Q2,1.849538436
AUT,2010-Q3,2.326798573
AUT,2010-Q4,3.021779527
AUT,2011-Q1,4.337105716
AUT,2011-Q2,3.20599322
AUT,2011-Q3,2.976349735
AUT,2011-Q4,1.755440485
AUT,2012-Q1,1.692384895
AUT,2012-Q2,1.023518427
AUT,2012-Q3,0.171770274
AUT,2012-Q4,0.150743818
AUT,2013-Q1,-0.819819444
AUT,2013-Q2,-0.33398259
AUT,2013-Q3,0.301333072
AUT,2013-Q4,0.748784701
AUT,2014-Q1,0.703643544
AUT,2014-Q2,1.300267606
AUT,2014-Q3,0.742130395
AUT,2014-Q4,0.484916935
AUT,2015-Q1,0.992793512
AUT,2015-Q2,0.514621637
AUT,2015-Q3,1.18317205
AUT,2015-Q4,1.172421665
AUT,2016-Q1,1.973504371
AUT,2016-Q2,1.655840007
AUT,2016-Q3,1.635525188
AUT,2016-Q4,2.547777764
AUT,2017-Q1,1.917775861
AUT,2017-Q2,2.651723722
AUT,2017-Q3,2.61709346
AUT,2017-Q4,2.301502561
AUT,2018-Q1,2.749521437
AUT,2018-Q2,2.514052517
AUT,2018-Q3,2.126968259
AUT,2018-Q4,2.444951471
AUT,2019-Q1,2.388187585
AUT,2019-Q2,1.555556405
AUT,2019-Q3,1.624014947
AUT,2019-Q4,0.334706956
AUT,2020-Q1,-3.033312441
AUT,2020-Q2,-13.688759976
AUT,2020-Q3,-4.545700167
AUT,2020-Q4,-6.103462931
AUT,2021-Q1,-4.108757069
AUT,2021-Q2,12.902031161
AUT,2021-Q3,5.330822064
AUT,2021-Q4,6.513182736
BEL,2008-Q1,2.082244476
BEL,2008-Q2,1.682569743
BEL,2008-Q3,0.31390366
BEL,2008-Q4,-2.258376355
BEL,2009-Q1,-3.625919024
BEL,2009-Q2,-3.641015145
BEL,2009-Q3,-1.849735973
BEL,2009-Q4,1.131078891
BEL,2010-Q1,2.654143247
BEL,2010-Q2,3.616108409
BEL,2010-Q3,2.749811226
BEL,2010-Q4,2.447017697
BEL,2011-Q1,2.409563732
BEL,2011-Q2,1.620424939
BEL,2011-Q3,1.488149917
BEL,2011-Q4,1.272481695
BEL,2012-Q1,1.003608138
BEL,2012-Q2,0.79376286
BEL,2012-Q3,0.750261485
BEL,2012-Q4,0.411142977
BEL,2013-Q1,-0.079050592
BEL,2013-Q2,0.505328464
BEL,2013-Q3,0.571981872
BEL,2013-Q4,0.83789398
